tanggal_prediksi,komoditas,harga_terakhir,tanggal_terakhir,prediksi_random_forest,prediksi_xgboost,prediksi_lightgbm,batas_harga_HET,status_stabilitas,created_at,commodity_id,harga_kemarin,harga_3_hari_lalu,harga_7_hari_lalu,harga_14_hari_lalu,rata_rata_7_hari,rata_rata_14_hari,fluktuasi_7_hari,bulan,hari_dalam_minggu,batas_aman_dinamis
2026-06-05,Ayam BroilerRas,43518,2026-06-04,43132.64760236732,43850.39453125,43287.09565300963,48327.888079470205,Aman,2026-06-05 11:03:29,1.0,,,,,,,,,,
2026-06-05,Bawang Merah,61131,2026-06-04,59645.20502533495,59995.59765625,59295.78662967884,56424.03377483445,Intervensi,2026-06-05 11:03:29,2.0,,,,,,,,,,
2026-06-05,Bawang Putih,41457,2026-06-04,42200.64639333933,41958.65234375,42454.829817898826,46561.5940397351,Aman,2026-06-05 11:03:29,3.0,,,,,,,,,,
2026-06-05,Beras IR 42Pera,16196,2026-06-04,16456.89424260984,16297.728515625,16573.438479961784,17889.438410596027,Aman,2026-06-05 11:03:29,4.0,,,,,,,,,,
2026-06-05,Beras IR. I (IR64),15549,2026-06-04,15554.150721330336,15536.025390625,15513.034886146832,16949.28079470199,Aman,2026-06-05 11:03:29,5.0,,,,,,,,,,
2026-06-05,Beras IR. II (IR 64) Ramos,14839,2026-06-04,14707.267258196487,14704.2001953125,14697.807607447416,16016.014569536426,Aman,2026-06-05 11:03:29,6.0,,,,,,,,,,
2026-06-05,Beras IR. III (IR 64),14085,2026-06-04,13899.02936878568,13901.2314453125,13973.839853447458,15094.556953642385,Aman,2026-06-05 11:03:29,7.0,,,,,,,,,,
2026-06-05,Beras Medium,13667,2026-06-04,13639.032857243448,13521.0361328125,13537.228243264442,14771.078767123288,Aman,2026-06-05 11:03:29,8.0,,,,,,,,,,
2026-06-05,Beras Muncul I,15883,2026-06-04,15943.066823832029,15775.3349609375,15842.911446973125,16542.203333333335,Aman,2026-06-05 11:03:29,9.0,,,,,,,,,,
2026-06-05,Beras Setra IPremium,16425,2026-06-04,16763.22777130209,16297.728515625,16573.438479961784,18109.63509933775,Aman,2026-06-05 11:03:29,10.0,,,,,,,,,,
2026-06-05,Cabe Merah Besar (TW),71094,2026-06-04,67922.28114344705,68255.265625,68600.56545981174,62463.0046357616,Intervensi,2026-06-05 11:03:29,11.0,,,,,,,,,,
2026-06-05,Cabe Merah Keriting,63189,2026-06-04,63602.44958551377,63768.1171875,63985.97004628034,56662.01986754968,Intervensi,2026-06-05 11:03:29,12.0,,,,,,,,,,
2026-06-05,Cabe Rawit Hijau,62919,2026-06-04,61616.25186974974,62758.01171875,62184.61254201464,66096.99668874172,Aman,2026-06-05 11:03:29,13.0,,,,,,,,,,
2026-06-05,Cabe Rawit Ijo Besar,41458,2026-06-04,42935.15906497706,43413.38671875,42921.03050554048,45624.88333333333,Aman,2026-06-05 11:03:29,14.0,,,,,,,,,,
2026-06-05,Cabe Rawit Merah,87391,2026-06-04,87617.13352707382,87584.1484375,87911.25276307354,93408.75099337749,Aman,2026-06-05 11:03:29,15.0,,,,,,,,,,
2026-06-05,Daging Babi Berlemak,116100,2026-06-04,112593.58807804542,114338.6953125,114102.81253639386,118678.94172185432,Aman,2026-06-05 11:03:29,16.0,,,,,,,,,,
2026-06-05,Daging Kambing,151911,2026-06-04,146836.7426777555,149564.65625,148986.34658224194,167174.8165562914,Aman,2026-06-05 11:03:29,17.0,,,,,,,,,,
2026-06-05,Daging Sapi,144375,2026-06-04,151030.0695537363,151420.953125,151801.85683312628,157328.74864864867,Aman,2026-06-05 11:03:29,20.0,,,,,,,,,,
2026-06-05,Daging Sapi Has (Paha Belakang),152689,2026-06-04,151117.51309460102,150201.109375,151087.65698371304,162541.3761589404,Aman,2026-06-05 11:03:29,18.0,,,,,,,,,,
2026-06-05,Daging Sapi Murni (Semur),149116,2026-06-04,148769.20254226268,151340.40625,149810.3207166921,157279.74105960267,Aman,2026-06-05 11:03:29,19.0,,,,,,,,,,
2026-06-05,Garam Dapur,5202,2026-06-04,7033.5301018164855,9561.5947265625,9731.4330925771,4925.960264900663,Intervensi,2026-06-05 11:03:29,21.0,,,,,,,,,,
2026-06-05,Gas Elpiji 3kg,20687,2026-06-04,20109.583330267706,20205.046875,20416.35781510067,22607.549668874173,Aman,2026-06-05 11:03:29,22.0,,,,,,,,,,
2026-06-05,Gula Pasir,18412,2026-06-04,18513.103889252456,18092.71875,18390.365612262125,20275.11258278146,Aman,2026-06-05 11:03:29,24.0,,,,,,,,,,
2026-06-05,Gula Pasir Kemasan Premium,18958,2026-06-04,18969.34129594689,19149.802734375,19134.33015794306,20776.140000000003,Aman,2026-06-05 11:03:29,23.0,,,,,,,,,,
2026-06-05,Ikan Bandeng (sedang),46866,2026-06-04,44417.559494080495,44591.0390625,44231.43536726381,47793.65960264901,Aman,2026-06-05 11:03:29,25.0,,,,,,,,,,
2026-06-05,Ikan Kembung,47750,2026-06-04,50325.432942096,50847.88671875,50101.56796728852,55255.4067114094,Aman,2026-06-05 11:03:29,26.0,,,,,,,,,,
2026-06-05,Ikan Lele,30527,2026-06-04,30388.05042262878,30427.013671875,30511.30176319081,33499.69139072848,Aman,2026-06-05 11:03:29,27.0,,,,,,,,,,
2026-06-05,Ikan Mas,41267,2026-06-04,42320.10038436519,41958.65234375,42078.4939617464,45789.029801324505,Aman,2026-06-05 11:03:29,28.0,,,,,,,,,,
2026-06-05,Jeruk Medan,31296,2026-06-04,32092.67861741726,31800.15625,32180.20863139684,34290.38013245034,Aman,2026-06-05 11:03:29,29.0,,,,,,,,,,
2026-06-05,Kacang Kedelai,19417,2026-06-04,18411.59397322008,18092.71875,18390.365612262125,19920.95570469799,Aman,2026-06-05 11:03:29,30.0,,,,,,,,,,
2026-06-05,Kelapa Kupas,14862,2026-06-04,15034.967692089353,15039.689453125,15016.730275412418,16523.959602649007,Aman,2026-06-05 11:03:29,31.0,,,,,,,,,,
2026-06-05,Kentang (sedang),19653,2026-06-04,19216.69941528213,19149.802734375,19134.33015794306,20395.762913907285,Aman,2026-06-05 11:03:29,32.0,,,,,,,,,,
2026-06-05,Margarin Blueband Cup,18416,2026-06-04,18520.650183885897,18092.71875,18390.365612262125,20062.819867549668,Aman,2026-06-05 11:03:29,33.0,,,,,,,,,,
2026-06-05,Margarin Blueband Sachet,10417,2026-06-04,10704.046088563697,10681.755859375,10588.152333133128,11671.619205298011,Aman,2026-06-05 11:03:29,34.0,,,,,,,,,,
2026-06-05,Minyak Goreng (KuningCurah),21597,2026-06-04,21293.2280783159,20205.046875,23088.34781267565,22571.94900662252,Waspada,2026-06-05 11:03:29,35.0,,,,,,,,,,
2026-06-05,Minyak Goreng Kemasan Premium,22708,2026-06-04,23921.799766127715,23400.103515625,23099.453584379386,23710.05266666667,Aman,2026-06-05 11:03:29,36.0,,,,,,,,,,
2026-06-05,Minyak Goreng MINYAKITA,17467,2026-06-04,17013.26083886111,18092.71875,16573.438479961784,19054.52266666667,Aman,2026-06-05 11:03:29,37.0,,,,,,,,,,
2026-06-05,Semangka,13883,2026-06-04,14134.834137488206,14042.3271484375,14099.78973905144,14799.669536423842,Aman,2026-06-05 11:03:29,38.0,,,,,,,,,,
2026-06-05,Susu Bubuk Bendera 400gr,47250,2026-06-04,41661.751500920574,41862.52734375,42192.65146726066,48754.21654135339,Aman,2026-06-05 11:03:29,39.0,,,,,,,,,,
2026-06-05,Susu Bubuk Dancow 400gr,48000,2026-06-04,47127.62719738572,48108.3671875,48144.27772875528,56356.82770270271,Aman,2026-06-05 11:03:29,40.0,,,,,,,,,,
2026-06-05,Susu Kental Bendera 200gr,13129,2026-06-04,13268.735097545865,13142.8564453125,13181.048851630829,14675.981456953645,Aman,2026-06-05 11:03:29,41.0,,,,,,,,,,
2026-06-05,Susu Kental Enak 200gr,11756,2026-06-04,11943.010158540485,12083.109375,11994.997621654267,13063.614569536425,Aman,2026-06-05 11:03:29,42.0,,,,,,,,,,
2026-06-05,Telur Ayam Ras,28042,2026-06-04,28161.76070283936,27924.513671875,28456.394076248725,33473.37152317881,Aman,2026-06-05 11:03:29,43.0,,,,,,,,,,
2026-06-05,Tepung Terigu,11844,2026-06-04,11422.015127432924,11496.986328125,11461.683670985503,12572.643046357618,Aman,2026-06-05 11:03:29,44.0,,,,,,,,,,
2026-06-05,Tomat Buah,19429,2026-06-04,18381.1956556886,18092.71875,18390.365612262125,20452.758940397354,Aman,2026-06-05 11:03:29,45.0,,,,,,,,,,
2026-06-06,Ayam BroilerRas,42987,2026-06-05,43158.66124057719,43850.39453125,43172.10332953348,48321.03157894737,Aman,2026-06-05 14:36:10,1.0,,,,,,,,,,
2026-06-06,Bawang Merah,60133,2026-06-05,59873.39524413603,59995.59765625,60460.66294566415,56487.996052631584,Intervensi,2026-06-05 14:36:10,2.0,,,,,,,,,,
2026-06-06,Bawang Putih,41233,2026-06-05,42607.631629066105,41958.65234375,42021.39509129346,46553.66447368422,Aman,2026-06-05 14:36:10,3.0,,,,,,,,,,
2026-06-06,Beras IR 42Pera,16150,2026-06-05,16294.452149887062,16297.728515625,16573.438479961784,17888.619736842105,Aman,2026-06-05 14:36:10,4.0,,,,,,,,,,
2026-06-06,Beras IR. I (IR64),15573,2026-06-05,15565.653532207089,15536.025390625,15513.034886146832,16950.471710526315,Aman,2026-06-05 14:36:10,5.0,,,,,,,,,,
2026-06-06,Beras IR. II (IR 64) Ramos,14517,2026-06-05,14713.570699639513,14704.2001953125,14697.807607447416,16015.703289473686,Aman,2026-06-05 14:36:10,6.0,,,,,,,,,,
2026-06-06,Beras IR. III (IR 64),13675,2026-06-05,13932.223901674151,13912.1044921875,13973.839853447458,15094.214473684213,Aman,2026-06-05 14:36:10,7.0,,,,,,,,,,
2026-06-06,Beras Medium,13000,2026-06-05,13614.322400585275,13390.10546875,13537.228243264442,14767.874149659863,Aman,2026-06-05 14:36:10,8.0,,,,,,,,,,
2026-06-06,Beras Muncul I,11875,2026-06-05,15478.362857442917,15395.98828125,15331.330450662454,16519.158940397352,Aman,2026-06-05 14:36:10,9.0,,,,,,,,,,
2026-06-06,Beras Setra IPremium,16417,2026-06-05,16613.88122381639,16297.728515625,16573.438479961784,18109.300000000003,Aman,2026-06-05 14:36:10,10.0,,,,,,,,,,
2026-06-06,Cabe Merah Besar (TW),70683,2026-06-05,68801.35374245519,69957.6953125,70932.39205020455,62563.585526315794,Intervensi,2026-06-05 14:36:10,11.0,,,,,,,,,,
2026-06-06,Cabe Merah Keriting,60967,2026-06-05,60745.46322677175,63768.1171875,63749.31057421535,56730.45197368422,Intervensi,2026-06-05 14:36:10,12.0,,,,,,,,,,
2026-06-06,Cabe Rawit Hijau,62400,2026-06-05,61469.65193174312,62758.01171875,61863.72267437707,66113.72697368421,Aman,2026-06-05 14:36:10,13.0,,,,,,,,,,
2026-06-06,Cabe Rawit Ijo Besar,48750,2026-06-05,41595.23322195294,42184.6796875,42240.65209410432,45677.8642384106,Aman,2026-06-05 14:36:10,14.0,,,,,,,,,,
2026-06-06,Cabe Rawit Merah,83033,2026-06-05,87780.13155239457,88427.7109375,88850.03530010287,93395.11644736843,Aman,2026-06-05 14:36:10,15.0,,,,,,,,,,
2026-06-06,Daging Babi Berlemak,101667,2026-06-05,114404.94369462375,114397.421875,111477.789034083,118633.90723684212,Aman,2026-06-05 14:36:10,16.0,,,,,,,,,,
2026-06-06,Daging Kambing,152000,2026-06-05,151722.26284702445,150201.109375,151087.65698371304,167174.9822368421,Aman,2026-06-05 14:36:10,17.0,,,,,,,,,,
2026-06-06,Daging Sapi,150000,2026-06-05,148441.03798854287,149132.53125,149663.76399687346,157380.233557047,Aman,2026-06-05 14:36:10,20.0,,,,,,,,,,
2026-06-06,Daging Sapi Has (Paha Belakang),153067,2026-06-05,150908.0172437404,149390.59375,150325.92504939932,162579.74671052632,Aman,2026-06-05 14:36:10,18.0,,,,,,,,,,
2026-06-06,Daging Sapi Murni (Semur),148333,2026-06-05,149337.2358571527,151340.40625,149810.3207166921,157318.46842105265,Aman,2026-06-05 14:36:10,19.0,,,,,,,,,,
2026-06-06,Garam Dapur,4717,2026-06-05,7033.530101816485,9561.5947265625,9731.4330925771,4927.688815789474,Intervensi,2026-06-05 14:36:10,21.0,,,,,,,,,,
2026-06-06,Gas Elpiji 3kg,20500,2026-06-05,20080.921195131887,20205.046875,20416.35781510067,22607.17105263158,Aman,2026-06-05 14:36:10,22.0,,,,,,,,,,
2026-06-06,Gula Pasir,18517,2026-06-05,18498.69012374625,18092.71875,18390.365612262125,20275.728289473685,Aman,2026-06-05 14:36:10,24.0,,,,,,,,,,
2026-06-06,Gula Pasir Kemasan Premium,18917,2026-06-05,19190.77066938036,19149.802734375,19134.33015794306,20776.35562913908,Aman,2026-06-05 14:36:10,23.0,,,,,,,,,,
2026-06-06,Ikan Bandeng (sedang),43867,2026-06-05,45114.85184047768,46180.5078125,44914.99549655938,47796.68618421053,Aman,2026-06-05 14:36:10,25.0,,,,,,,,,,
2026-06-06,Ikan Kembung,46667,2026-06-05,48845.69554174772,49560.52734375,49691.2874289857,55229.262,Aman,2026-06-05 14:36:10,26.0,,,,,,,,,,
2026-06-06,Ikan Lele,30960,2026-06-05,30474.49395939304,30427.013671875,30511.30176319081,33503.35131578948,Aman,2026-06-05 14:36:10,27.0,,,,,,,,,,
2026-06-06,Ikan Mas,42070,2026-06-05,42450.49901343913,41958.65234375,42021.39509129346,45792.24013157895,Aman,2026-06-05 14:36:10,28.0,,,,,,,,,,
2026-06-06,Jeruk Medan,32283,2026-06-05,32506.700002264617,31456.951171875,31392.4365867406,34298.412500000006,Aman,2026-06-05 14:36:10,29.0,,,,,,,,,,
2026-06-06,Kacang Kedelai,20334,2026-06-05,17909.410609250277,18092.71875,18390.365612262125,19937.265333333336,Aman,2026-06-05 14:36:10,30.0,,,,,,,,,,
2026-06-06,Kelapa Kupas,14670,2026-06-05,15008.663901019972,14802.4375,15016.730275412418,16521.413815789474,Aman,2026-06-05 14:36:10,31.0,,,,,,,,,,
2026-06-06,Kentang (sedang),19403,2026-06-05,19266.841116286418,19149.802734375,19134.33015794306,20401.99671052632,Aman,2026-06-05 14:36:10,32.0,,,,,,,,,,
2026-06-06,Margarin Blueband Cup,18283,2026-06-05,18495.50709003352,18092.71875,18390.365612262125,20063.13881578948,Aman,2026-06-05 14:36:10,33.0,,,,,,,,,,
2026-06-06,Margarin Blueband Sachet,10660,2026-06-05,10684.575819482065,10502.8857421875,10577.645984383586,11671.976973684212,Aman,2026-06-05 14:36:10,34.0,,,,,,,,,,
2026-06-06,Minyak Goreng (KuningCurah),21473,2026-06-05,22402.563540111896,20205.046875,23088.34781267565,22578.846052631583,Waspada,2026-06-05 14:36:10,35.0,,,,,,,,,,
2026-06-06,Minyak Goreng Kemasan Premium,22542,2026-06-05,23984.67278200072,23400.103515625,23099.453584379386,23717.24569536424,Aman,2026-06-05 14:36:10,36.0,,,,,,,,,,
2026-06-06,Minyak Goreng MINYAKITA,17125,2026-06-05,17049.530807211595,18092.71875,16573.438479961784,19053.08543046358,Aman,2026-06-05 14:36:10,37.0,,,,,,,,,,
2026-06-06,Semangka,14567,2026-06-05,14133.297351147849,14157.146484375,14099.78973905144,14807.722368421057,Aman,2026-06-05 14:36:10,38.0,,,,,,,,,,
2026-06-06,Susu Bubuk Bendera 400gr,45000,2026-06-05,45543.02466618213,44957.75,45093.88230152443,48759.782089552245,Aman,2026-06-05 14:36:10,39.0,,,,,,,,,,
2026-06-06,Susu Bubuk Dancow 400gr,52250,2026-06-05,49721.7775365474,49313.953125,49007.72206160564,56364.33221476511,Aman,2026-06-05 14:36:10,40.0,,,,,,,,,,
2026-06-06,Susu Kental Bendera 200gr,13267,2026-06-05,13223.553761198618,13142.8564453125,13181.048851630829,14675.440131578947,Aman,2026-06-05 14:36:10,41.0,,,,,,,,,,
2026-06-06,Susu Kental Enak 200gr,11960,2026-06-05,12010.575532153442,12060.5078125,11994.997621654267,13064.222368421057,Aman,2026-06-05 14:36:10,42.0,,,,,,,,,,
2026-06-06,Telur Ayam Ras,27793,2026-06-05,28118.05331924925,28018.275390625,27824.690919294924,33454.28552631579,Aman,2026-06-05 14:36:10,43.0,,,,,,,,,,
2026-06-06,Tepung Terigu,11258,2026-06-05,11552.3511703123,11431.79296875,11452.568987274244,12571.400657894736,Aman,2026-06-05 14:36:10,44.0,,,,,,,,,,
2026-06-06,Tomat Buah,18557,2026-06-05,18518.035696764266,18092.71875,18390.365612262125,20452.49539473684,Aman,2026-06-05 14:36:10,45.0,,,,,,,,,,
2026-06-09,Ayam BroilerRas,42813,2026-06-08,43663.44382193755,43413.38671875,43562.13783691124,48296.28571428572,Aman,2026-06-08 13:11:19,1.0,,,,,,,,,,
2026-06-09,Bawang Merah,59527,2026-06-08,59556.469036133625,60074.1328125,59832.84300762402,56604.93571428572,Intervensi,2026-06-08 13:11:19,2.0,,,,,,,,,,
2026-06-09,Bawang Putih,42040,2026-06-08,42347.41987414498,41958.65234375,42454.829817898826,46555.73571428572,Aman,2026-06-08 13:11:19,3.0,,,,,,,,,,
2026-06-09,Beras IR 42Pera,16361,2026-06-08,16240.168364591442,16297.728515625,16573.438479961784,17885.257142857143,Aman,2026-06-08 13:11:19,4.0,,,,,,,,,,
2026-06-09,Beras IR. I (IR64),15482,2026-06-08,15553.645280842156,15360.0654296875,15513.034886146832,16952.814285714285,Aman,2026-06-08 13:11:19,5.0,,,,,,,,,,
2026-06-09,Beras IR. II (IR 64) Ramos,14669,2026-06-08,14587.273105673105,14704.2001953125,14697.807607447416,16016.185714285715,Aman,2026-06-08 13:11:19,6.0,,,,,,,,,,
2026-06-09,Beras IR. III (IR 64),13874,2026-06-08,13910.376008453217,13912.1044921875,13973.839853447458,15095.735714285716,Aman,2026-06-08 13:11:19,7.0,,,,,,,,,,
2026-06-09,Beras Medium,13500,2026-06-08,13819.102861006018,13564.541015625,13656.47714725681,14772.6677852349,Aman,2026-06-08 13:11:19,8.0,,,,,,,,,,
2026-06-09,Beras Muncul I,15854,2026-06-08,16076.146577823469,15063.0361328125,15320.76864160124,16530.023529411767,Aman,2026-06-08 13:11:19,9.0,,,,,,,,,,
2026-06-09,Beras Setra IPremium,16484,2026-06-08,16471.872974566126,16297.728515625,16573.438479961784,18106.59285714286,Aman,2026-06-08 13:11:19,10.0,,,,,,,,,,
2026-06-09,Cabe Merah Besar (TW),69933,2026-06-08,70911.9484084516,70792.796875,70932.39205020455,62750.47142857144,Intervensi,2026-06-08 13:11:19,11.0,,,,,,,,,,
2026-06-09,Cabe Merah Keriting,57793,2026-06-08,64914.22003401247,65022.59375,65073.08473283826,56874.44285714287,Intervensi,2026-06-08 13:11:19,12.0,,,,,,,,,,
2026-06-09,Cabe Rawit Hijau,62033,2026-06-08,63260.63380298018,62758.01171875,63374.20502372485,66151.77142857143,Aman,2026-06-08 13:11:19,13.0,,,,,,,,,,
2026-06-09,Cabe Rawit Ijo Besar,46250,2026-06-08,43409.17843930526,43826.67578125,43111.25434812266,45736.8137254902,Aman,2026-06-08 13:11:19,14.0,,,,,,,,,,
2026-06-09,Cabe Rawit Merah,79300,2026-06-08,86593.2935974374,89075.5546875,87063.11219083249,93352.19285714286,Aman,2026-06-08 13:11:19,15.0,,,,,,,,,,
2026-06-09,Daging Babi Berlemak,103750,2026-06-08,114257.8953144534,114397.421875,111295.26179549604,118611.2642857143,Aman,2026-06-08 13:11:19,16.0,,,,,,,,,,
2026-06-09,Daging Kambing,152900,2026-06-08,150751.33166240243,149564.65625,151505.40278783478,167196.02142857143,Aman,2026-06-08 13:11:19,17.0,,,,,,,,,,
2026-06-09,Daging Sapi,149583,2026-06-08,148459.09432531858,151261.0625,149755.0575622566,157478.11986754969,Aman,2026-06-08 13:11:19,20.0,,,,,,,,,,
2026-06-09,Daging Sapi Has (Paha Belakang),152583,2026-06-08,148124.43459067092,149564.65625,148986.34658224194,162628.95,Aman,2026-06-08 13:11:19,18.0,,,,,,,,,,
2026-06-09,Daging Sapi Murni (Semur),148167,2026-06-08,148949.77775973544,148890.421875,148197.29039603157,157385.07142857145,Aman,2026-06-08 13:11:19,19.0,,,,,,,,,,
2026-06-09,Garam Dapur,4557,2026-06-08,7004.651911340296,9561.5947265625,9731.4330925771,4934.400000000001,Intervensi,2026-06-08 13:11:19,21.0,,,,,,,,,,
2026-06-09,Gas Elpiji 3kg,20667,2026-06-08,20218.28019949086,20205.046875,20416.35781510067,22611.19285714285,Aman,2026-06-08 13:11:19,22.0,,,,,,,,,,
2026-06-09,Gula Pasir,18527,2026-06-08,18577.25557332492,18092.71875,18390.365612262125,20276.78571428572,Aman,2026-06-08 13:11:19,24.0,,,,,,,,,,
2026-06-09,Gula Pasir Kemasan Premium,18771,2026-06-08,18957.17182512493,18092.71875,19134.33015794306,20775.426797385622,Aman,2026-06-08 13:11:19,23.0,,,,,,,,,,
2026-06-09,Ikan Bandeng (sedang),44367,2026-06-08,45108.792534089785,46180.5078125,44936.43036462515,47808.44285714286,Aman,2026-06-08 13:11:19,25.0,,,,,,,,,,
2026-06-09,Ikan Kembung,45417,2026-06-08,48804.08238312472,47591.13671875,47611.65134558429,55174.98684210527,Aman,2026-06-08 13:11:19,26.0,,,,,,,,,,
2026-06-09,Ikan Lele,30690,2026-06-08,30483.30298086782,30427.013671875,30511.30176319081,33504.571428571435,Aman,2026-06-08 13:11:19,27.0,,,,,,,,,,
2026-06-09,Ikan Mas,41920,2026-06-08,41349.68001818356,41683.6328125,42078.4939617464,45783.12857142857,Aman,2026-06-08 13:11:19,28.0,,,,,,,,,,
2026-06-09,Jeruk Medan,31767,2026-06-08,31596.921679380488,31800.15625,31921.494521108496,34302.20714285714,Aman,2026-06-08 13:11:19,29.0,,,,,,,,,,
2026-06-09,Kacang Kedelai,17917,2026-06-08,18647.93451937672,18092.71875,18390.365612262125,19940.488815789475,Aman,2026-06-08 13:11:19,30.0,,,,,,,,,,
2026-06-09,Kelapa Kupas,14653,2026-06-08,14726.217998623522,14802.4375,14785.205225435302,16517.350000000002,Aman,2026-06-08 13:11:19,31.0,,,,,,,,,,
2026-06-09,Kentang (sedang),19500,2026-06-08,19198.32893446604,19149.802734375,19134.33015794306,20414.94285714285,Aman,2026-06-08 13:11:19,32.0,,,,,,,,,,
2026-06-09,Margarin Blueband Cup,18040,2026-06-08,18539.48356099298,18092.71875,18390.365612262125,20063.81428571429,Aman,2026-06-08 13:11:19,33.0,,,,,,,,,,
2026-06-09,Margarin Blueband Sachet,10513,2026-06-08,10642.524468699838,10502.8857421875,10588.152333133128,11670.514285714287,Aman,2026-06-08 13:11:19,34.0,,,,,,,,,,
2026-06-09,Minyak Goreng (KuningCurah),21820,2026-06-08,21495.68382050716,20205.046875,23088.34781267565,22596.592857142856,Waspada,2026-06-08 13:11:19,35.0,,,,,,,,,,
2026-06-09,Minyak Goreng Kemasan Premium,22958,2026-06-08,24148.528397114736,23400.103515625,23099.453584379386,23734.937254901964,Aman,2026-06-08 13:11:19,36.0,,,,,,,,,,
2026-06-09,Minyak Goreng MINYAKITA,17163,2026-06-08,16991.556264086234,18092.71875,16573.438479961784,19053.898039215685,Aman,2026-06-08 13:11:19,37.0,,,,,,,,,,
2026-06-09,Semangka,13820,2026-06-08,13708.127922344367,13871.9970703125,13973.839853447458,14810.264285714287,Aman,2026-06-08 13:11:19,38.0,,,,,,,,,,
2026-06-09,Susu Bubuk Bendera 400gr,45000,2026-06-08,45518.46632673598,44957.75,45049.85063848743,48765.26518518519,Aman,2026-06-08 13:11:19,39.0,,,,,,,,,,
2026-06-09,Susu Bubuk Dancow 400gr,53250,2026-06-08,48177.10145465507,49998.81640625,48486.46430438701,56424.57284768212,Aman,2026-06-08 13:11:19,40.0,,,,,,,,,,
2026-06-09,Susu Kental Bendera 200gr,13247,2026-06-08,13301.96923246506,13257.2783203125,13181.048851630829,14674.635714285716,Aman,2026-06-08 13:11:19,41.0,,,,,,,,,,
2026-06-09,Susu Kental Enak 200gr,12060,2026-06-08,11934.276233635375,12060.4384765625,12005.115410094248,13066.89285714286,Aman,2026-06-08 13:11:19,42.0,,,,,,,,,,
2026-06-09,Telur Ayam Ras,27887,2026-06-08,28077.09565641027,28078.3359375,27824.690919294924,33418.08571428572,Aman,2026-06-08 13:11:19,43.0,,,,,,,,,,
2026-06-09,Tepung Terigu,11427,2026-06-08,11674.121430415626,11620.125,11540.275179507744,12573.685714285715,Aman,2026-06-08 13:11:19,44.0,,,,,,,,,,
2026-06-09,Tomat Buah,19060,2026-06-08,19106.37312832255,19149.802734375,19134.33015794306,20464.4,Aman,2026-06-08 13:11:19,45.0,,,,,,,,,,
2026-06-11,Ayam BroilerRas,41436,2026-06-10,43383.260445363456,43413.38671875,43311.06501291824,48269.42435897437,Aman,2026-06-10 22:33:17,1.0,,,,,,,,,,
2026-06-11,Bawang Merah,58467,2026-06-10,60759.059049673735,60361.40625,60062.09016613937,56712.678846153845,Intervensi,2026-06-10 22:33:17,2.0,,,,,,,,,,
2026-06-11,Bawang Putih,42601,2026-06-10,42766.29807313372,42686.76171875,42988.971276096585,46560.42628205129,Aman,2026-06-10 22:33:17,3.0,,,,,,,,,,
2026-06-11,Beras IR 42Pera,16410,2026-06-10,16137.866175003212,16297.728515625,16573.438479961784,17886.676923076924,Aman,2026-06-10 22:33:17,4.0,,,,,,,,,,
2026-06-11,Beras IR. I (IR64),15822,2026-06-10,15542.018304235253,15536.025390625,15513.034886146832,16956.718589743592,Aman,2026-06-10 22:33:17,5.0,,,,,,,,,,
2026-06-11,Beras IR. II (IR 64) Ramos,14772,2026-06-10,14578.084677233142,14704.2001953125,14697.807607447416,16017.960256410255,Aman,2026-06-10 22:33:17,6.0,,,,,,,,,,
2026-06-11,Beras IR. III (IR 64),13967,2026-06-10,13860.02919370709,13912.1044921875,13973.839853447458,15098.42371794872,Aman,2026-06-10 22:33:17,7.0,,,,,,,,,,
2026-06-11,Beras Medium,13500,2026-06-10,13644.132074525744,13624.05859375,13656.47714725681,14777.334437086092,Aman,2026-06-10 22:33:17,8.0,,,,,,,,,,
2026-06-11,Beras Muncul I,15796,2026-06-10,14578.456166609343,15039.689453125,15320.76864160124,16540.196129032258,Aman,2026-06-10 22:33:17,9.0,,,,,,,,,,
2026-06-11,Beras Setra IPremium,16005,2026-06-10,16539.839704039277,16297.728515625,16573.438479961784,18105.45,Aman,2026-06-10 22:33:17,10.0,,,,,,,,,,
2026-06-11,Cabe Merah Besar (TW),69747,2026-06-10,69031.39711913934,71187.453125,71121.85227578304,62920.44423076923,Intervensi,2026-06-10 22:33:17,11.0,,,,,,,,,,
2026-06-11,Cabe Merah Keriting,57621,2026-06-10,63176.10840716295,64366.796875,62883.39967616078,56969.303205128206,Intervensi,2026-06-10 22:33:17,12.0,,,,,,,,,,
2026-06-11,Cabe Rawit Hijau,60423,2026-06-10,63164.074678196615,62758.01171875,63374.20502372485,66157.60320512821,Aman,2026-06-10 22:33:17,13.0,,,,,,,,,,
2026-06-11,Cabe Rawit Ijo Besar,45000,2026-06-10,45238.34304686939,44703.70703125,44652.47254745565,45798.67741935485,Aman,2026-06-10 22:33:17,14.0,,,,,,,,,,
2026-06-11,Cabe Rawit Merah,79280,2026-06-10,85451.66284481835,86196.0234375,84609.70453113696,93285.57756410255,Aman,2026-06-10 22:33:17,15.0,,,,,,,,,,
2026-06-11,Daging Babi Berlemak,106833,2026-06-10,110254.49695436472,107388.1640625,106584.1020793772,118597.22628205128,Aman,2026-06-10 22:33:17,16.0,,,,,,,,,,
2026-06-11,Daging Kambing,147150,2026-06-10,149185.68802094922,151535.515625,148704.70294466725,167167.74743589747,Aman,2026-06-10 22:33:17,17.0,,,,,,,,,,
